242,243,245,247,249,248,254,254,257,260,265,270,273,277,280,287,293,295,295,302,307,309,311,328,320,337,356,373,377,356,385,368,408,555,318,402,494,525,650,817,667,480,848,858,912,882,954,1288,1227,1918,2191,2073,2552,2488,2389,2912,2283,1543,1357,1641,1439,1065,1043,871,698,599,564,568,530,468,478,493,479,454,446,433,417,402,393,389,377,373,362,357,347
382,384,386,386,392,393,396,403,409,409,415,421,428,428,431,436,446,442,446,459,470,465,457,495,473,465,511,566,580,473,519,527,474,661,491,532,528,666,752,1084,880,518,631,711,1052,763,760,1169,1080,1892,1945,1836,1991,2575,2548,3625,3317,2290,1201,1515,1615,980,941,889,824,555,480,519,481,342,340,329,318,283,269,254,233,212,196,189,180,172,164,157,151
145,152,151,149,150,159,159,158,158,167,172,171,170,183,188,187,194,196,204,201,204,218,212,244,233,220,280,311,334,270,242,262,244,367,253,330,286,324,502,799,597,340,540,738,856,703,730,692,512,1727,2073,1538,1501,2307,1617,2788,2629,2222,1219,1621,1703,1111,1073,993,931,684,622,709,672,528,541,525,526,488,471,467,449,428,408,404,400,386,372,366,363
42,50,51,45,45,54,54,50,50,56,64,62,60,70,77,79,79,82,93,98,96,102,115,139,118,116,153,180,206,128,120,159,184,282,190,195,198,245,495,791,546,253,529,718,921,674,828,719,464,1689,1973,1477,1259,2104,1825,3095,2786,2053,1239,1596,1779,1156,1089,1045,961,730,658,730,725,590,581,560,570,536,508,498,492,471,441,433,434,423,403,395,395
424,430,421,430,434,439,434,439,451,453,452,454,467,467,460,475,495,492,488,507,532,528,504,561,580,558,525,651,689,607,544,569,610,683,686,806,641,554,1117,1155,1004,1382,1286,1031,1431,1693,2001,948,1492,3523,3393,3101,834,2835,1444,1845,2192,2815,1913,855,1707,1494,935,742,874,741,533,493,499,460,397,426,390,360,333,330,328,316,300,293,291,276,267,267,263
72,169,149,41,144,208,141,80,214,238,110,124,246,212,71,187,235,126,157,351,325,107,255,420,265,88,409,555,297,210,521,457,239,424,705,712,365,899,1152,906,196,1439,2429,1326,569,1516,2042,2675,3177,4636,4286,2279,1315,5479,5604,2372,1410,3486,4004,2776,1140,2117,1953,1350,311,1084,1417,1105,322,656,896,579,88,506,588,283,200,477,425,110,319,443,289,44,323
184,185,191,197,195,206,208,213,222,225,231,233,245,253,274,289,301,305,317,343,349,340,341,386,358,382,398,402,359,347,569,386,276,713,390,406,766,817,400,747,858,718,793,978,1088,637,1490,2031,1468,954,2923,2670,344,2657,3179,2403,3419,4069,2635,1502,2542,2247,1058,1041,1127,810,607,565,537,496,539,554,497,471,480,462,447,411,379,356,327,301,265,243,247
145,139,135,140,145,140,132,138,141,135,128,132,139,134,122,128,142,134,116,122,137,121,137,145,120,181,181,136,189,266,168,181,305,217,429,536,419,656,782,735,860,758,770,723,1092,1226,1000,1397,1290,1490,1468,2009,1842,1731,3040,2558,1919,1611,1228,701,723,615,365,307,253,171,100,64,100,77,32,37,50,56,61,39,48,76,75,65,70,85,89,79,78
128,132,140,141,140,145,154,158,158,163,173,180,185,187,194,209,216,221,232,256,262,268,277,295,310,307,314,308,340,410,426,492,492,604,686,642,740,892,908,1024,1206,1148,1017,1112,1125,918,1030,634,590,442,1208,1013,1448,1684,2866,1814,1462,2046,1467,1297,1242,1170,969,831,695,660,525,526,486,415,373,346,354,331,310,283,282,267,251,233,227,225,211,197,189
52,50,51,55,53,55,57,59,63,65,67,71,72,74,72,71,74,75,73,76,74,73,70,68,65,37,68,62,52,149,140,178,225,368,492,423,481,527,496,570,342,364,173,99,361,536,730,1218,1797,1949,2249,2679,2590,3006,2434,2435,2709,2055,1651,1244,851,737,519,240,283,230,124,138,134,98,121,135,120,123,125,114,118,108,104,101,97,87,76,71,58
