349283249	350475342	351667435	352859528	354051621	355243714	356435807	357627900	358819993	360012086	361204179	362396272	363588365	364780458	365972551	367164644	368356737	369548830	370740923	371933016	373125109	374317202	375509295	376701388	377893481	379085574	380277667	381469760	382661853	383853946	385046039	386238132	387430225	388622318	389814411	391006504	392198597	393390690	394582783	395774876	396966969	398159062	399351155	400543248	401735341	402927434	404119527	405311620	406503713	407695806	408887899	410079992	411272085	412464178	413656271	414848364	416040457	417232550	418424643	419616736	420808829	422000922	423193015	424385108	425577201	426769294	427961387	429153480	430345573	431537666	432729759	433921852	435113945	436306038	437498131	438690224	439882317	441074410	442266503	443458596	444650689	445842782	447034875	448226968	449419061	0	
69	56	129	109	13	112	133	37	108	185	124	33	170	190	59	142	260	174	72	202	225	110	209	318	227	72	326	305	107	294	378	285	220	610	700	141	503	1358	1694	1288	1239	1624	1072	487	1795	2653	1513	501	2967	3773	4466	3535	4031	5865	3745	1878	3807	3713	2638	850	2235	2606	1524	809	932	1125	783	126	804	1072	638	274	641	652	392	400	511	377	252	453	449	253	338	458	341	0
170	139	214	204	127	202	266	192	137	254	251	136	220	304	220	156	304	305	129	245	388	285	148	302	308	173	262	408	313	117	257	274	329	734	515	444	590	1213	1230	997	1543	1886	917	527	2213	2878	1360	781	3222	3576	3916	2925	4348	5592	3242	1439	3596	3495	2558	1010	2160	2529	1311	506	1011	1150	685	98	656	799	408	329	518	336	276	468	407	130	263	383	228	116	321	285	83	0
93	30	123	139	41	83	152	96	70	174	160	42	149	214	131	102	239	227	105	174	268	187	179	306	261	103	299	315	198	235	331	293	130	586	650	56	457	1291	1659	1204	1170	1569	1047	445	1761	2634	1588	340	2824	3594	4399	3099	3624	5454	3735	1841	3804	3711	2613	719	2196	2614	1511	804	1043	1182	810	209	830	1046	598	358	650	601	400	476	519	338	337	495	419	263	407	459	304	0
73	68	152	137	45	133	171	98	113	204	168	67	188	235	135	148	274	236	115	215	288	192	214	326	252	117	332	341	200	261	336	281	187	653	660	98	475	1262	1560	1058	1194	1597	1043	449	1742	2586	1513	478	2872	3624	4294	3095	3804	5529	3507	1953	3772	3435	2467	701	2250	2592	1451	755	1001	1138	784	172	789	1008	579	329	618	578	376	455	492	325	310	470	393	241	374	432	282	0
141	121	204	188	92	176	243	166	116	216	217	107	200	275	181	129	276	264	95	217	358	253	111	278	270	145	236	367	270	111	235	213	333	714	468	451	572	1138	1194	892	1467	1807	897	719	2144	2732	1418	730	3218	3700	3923	3010	4186	5574	2999	1723	3703	3313	2697	850	2119	2626	1358	509	1042	1201	783	118	630	817	477	349	543	383	296	503	461	187	273	417	278	122	336	336	125	0
147	122	204	194	102	193	251	172	118	224	225	116	209	287	191	137	284	282	105	231	372	265	124	281	287	151	240	382	274	140	236	215	346	707	489	452	576	1107	1151	885	1471	1804	894	767	2141	2717	1431	709	3270	3780	3818	3001	4257	5527	2743	1926	3918	3209	2524	877	2202	2648	1340	482	1068	1193	715	128	668	813	456	360	528	355	304	503	436	161	287	406	257	137	337	320	108	0
66	69	162	138	40	138	169	86	113	205	164	57	192	229	123	155	283	245	108	216	281	193	223	321	269	117	327	388	207	270	369	296	220	634	641	171	559	1316	1570	926	1060	1473	1000	594	1731	2508	1498	543	3240	4085	4230	3186	3959	5720	3029	2087	4110	3108	2412	647	2281	2689	1498	684	1065	1181	746	157	801	997	576	314	614	570	369	457	485	305	306	465	381	225	385	422	266	0
224	233	139	176	253	213	157	241	277	175	166	283	279	162	241	332	256	155	272	305	223	242	347	267	132	332	396	259	212	374	267	56	604	849	465	555	876	1351	1207	911	1396	1636	659	886	2131	2677	1225	817	3405	3799	3806	2859	4439	5612	2739	2124	4164	2969	2288	639	2082	2584	1520	607	869	1123	868	209	559	944	711	217	441	575	401	280	414	379	166	271	366	246	136	289	310	0
24	138	161	83	82	168	133	59	180	205	108	112	221	197	80	213	291	176	123	247	243	141	280	343	204	151	363	342	134	306	398	266	275	668	599	206	647	1364	1498	895	1050	1497	958	590	1726	2593	1421	431	3150	3943	4156	3041	4184	5449	2940	2243	4230	3182	2398	662	2161	2622	1540	622	1010	1172	761	171	781	1033	644	260	599	627	387	388	487	359	253	439	431	255	323	439	328	0
62	65	151	128	20	126	152	73	104	193	149	38	185	216	102	129	271	224	79	196	261	151	198	300	238	106	283	362	197	208	308	285	204	604	531	94	572	1297	1585	1091	1136	1547	994	687	1809	2952	1651	432	3091	4079	4414	3408	4377	5538	3328	1832	4279	3336	2330	842	2220	2750	1569	627	1061	1193	758	115	823	1008	565	304	620	577	351	441	494	292	289	460	379	220	381	429	278	0
83	65	154	136	53	117	147	81	109	189	152	58	176	215	115	137	261	220	125	221	255	171	240	333	257	153	327	346	216	278	407	322	151	568	577	127	535	1173	1441	884	900	1544	986	441	1721	2558	1570	120	2675	3596	3993	2309	3376	5210	3488	2080	3955	3177	2007	671	2204	2559	1440	643	1037	1083	691	236	823	997	533	319	617	600	349	405	472	319	290	457	397	232	346	420	290	0
158	131	200	188	125	195	241	161	153	238	203	129	227	273	173	175	281	225	106	271	345	197	170	319	280	87	269	423	218	153	289	171	410	741	515	310	538	1171	1193	1027	1297	1769	936	201	1697	2417	611	1351	3275	3031	3433	2629	4627	4940	2576	1583	4588	4006	3007	1278	2467	3016	1807	393	959	1293	849	107	625	810	460	386	560	398	276	508	497	205	262	435	306	116	333	358	152	0
81	66	156	138	30	117	160	83	87	180	154	41	151	195	90	135	253	203	72	209	264	144	196	328	269	92	283	351	274	277	335	229	178	505	595	302	578	1385	1727	1143	799	944	735	275	1439	2492	1317	1221	2630	3737	3137	2638	4692	6129	3914	1622	4149	3359	2550	568	2078	2531	1649	723	1006	1181	750	225	785	974	557	268	646	637	386	427	502	335	262	447	425	253	355	428	308	0
47	77	144	113	15	122	141	64	108	190	141	42	174	203	87	136	263	219	72	182	249	155	179	296	245	30	256	346	194	216	253	168	209	481	371	220	736	1577	1597	839	925	1217	692	44	1174	1937	1026	1206	3237	4211	4157	3674	4300	4896	2314	2652	4991	4315	3363	800	2007	2593	1439	505	981	1139	777	44	758	972	543	262	563	519	327	441	486	284	271	439	364	185	351	411	245	0
306	312	309	316	330	336	333	335	347	352	358	359	373	381	391	389	403	416	413	419	442	442	429	411	402	421	468	504	388	420	701	723	686	486	774	880	707	326	926	1252	810	105	547	462	217	1249	1211	325	1628	2556	3718	2635	2257	4819	3546	2903	4142	3136	2046	1831	2790	2315	1548	1435	1362	1104	952	980	1008	922	748	706	666	610	532	500	498	470	433	428	408	373	357	352	339	0
240	238	242	242	238	233	236	235	233	233	236	236	235	230	235	228	229	223	218	202	201	214	248	243	223	261	255	282	319	344	323	218	254	384	335	420	482	763	1131	1044	802	576	388	473	764	909	676	919	1683	2174	2625	2763	3294	2524	3077	3739	2871	2114	1865	1442	1312	1253	1211	1116	963	926	843	774	747	705	680	642	624	590	580	570	554	545	531	520	506	497	490	476	464	0
